2021,2022,2023,2024,variacao_pct_2021_2024,id_municipio,nome_municipio
281.12814001995105,277.827567664456,215.09231044990145,123.7404984974368,-55.98430719576659,3513900,DIVINOLANDIA
427.1873901912555,453.21900421738525,336.7911894625332,245.45782697629647,-42.54094745952054,3502804,ARACATUBA
71.98128486593485,44.37213429965981,44.37213429965981,42.631803325280664,-40.77376723035383,3521150,IPIGUA
236.85457129322597,192.4557351809084,192.4557351809084,149.42099364960777,-36.9144564811356,3546108,SANTA CLARA D'OESTE
169.2524682651622,137.8993334865548,137.8993334865548,111.65698972755693,-34.02932856930179,3500204,ADOLFO
266.05853287723295,181.77096857958972,181.77096857958972,175.57060446450964,-34.010534236267866,3516101,FLORINEA
72.95719844357977,49.61548002976929,49.61548002976929,48.649963512527364,-33.31711667882916,3535903,PARANAPUA
201.01565806178587,142.65335235378032,134.72816611190365,136.77811550151975,-31.95648696208607,3511300,CEDRAL
111.71104077452988,117.05033164260631,117.05033164260631,76.24857033930614,-31.74482145126445,3541059,PRATANIA
286.32784538296346,201.74848688634836,201.74848688634836,201.07238605898124,-29.77546916890079,3515806,FLORA RICA
