ano,mes,sigla_uf,id_municipio,quantidade_atendimentos,valor_total_aprovado
2021,6,SP,3519501,18253,21618.110000000004
2021,6,SP,3508801,17817,75027.28000000003
2021,6,SP,3540705,67026,218276.5099999998
2021,6,SP,3545506,511,1104.25
2021,6,SP,3502606,5141,10715.069999999998
2021,6,SP,3506706,4612,22024.58
2021,4,SP,3517406,49937,96316.67999999988
2021,4,SP,3520806,6838,5669.649999999999
2021,4,SP,3538808,22135,154108.95000000004
2021,4,SP,3503901,63334,300108.7000000002
2021,4,SP,3537909,17621,101617.01000000001
2021,4,SP,3522703,38116,107998.04000000001
2021,4,SP,3535804,15694,31908.239999999998
2021,4,SP,3537107,27693,159503.85
2021,4,SP,3505302,14212,92682.30000000009
2021,4,SP,3549706,37598,406107.9700000001
2021,4,SP,3547007,6230,30372.83
2021,4,SP,3530904,4727,3736.79
2021,4,SP,3515194,57,334.7200000000001
2021,4,SP,3503950,87,319.61
2021,4,SP,3507159,110,513.18
2021,4,SP,3526308,753,7121.400000000001
2022,1,SP,3548054,12939,10233.19
2022,1,SP,3513009,253696,1158559.2800000007
2022,1,SP,3503000,2875,17072.520000000015
2022,1,SP,3509254,42927,126683.39000000001
2022,1,SP,3554508,22265,119361.70999999999
2022,1,SP,3553500,11527,37423.030000000006
2022,1,SP,3535101,19965,17481.850000000046
2022,1,SP,3556354,21104,909.0
2022,1,SP,3540507,5477,0.0
2023,3,SP,3556701,129630,679921.7200000003
2023,3,SP,3532843,1393,6648.6
2023,3,SP,3530409,9925,484.50000000000006
2023,3,SP,3547650,1792,9501.87
2023,3,SP,3526605,82,680.28
2023,3,SP,3526308,2133,9605.509999999998
2023,3,SP,3504800,1448,2790.9
2023,7,SP,3506359,168624,873680.5099999979
2023,7,SP,3548054,17266,33990.51
2023,7,SP,3514700,857,5081.839999999998
2023,7,SP,3532207,11204,23679.280000000002
2023,7,SP,3528106,9911,57140.02999999998
2023,7,SP,3503950,189,2424.65
2023,10,SP,3503307,150573,1144697.65
2023,10,SP,3550407,134936,607175.3099999999
2023,10,SP,3525102,45950,837.25
2023,10,SP,3502309,12603,14951.939999999988
2023,10,SP,3515707,165794,905436.1800000002
2023,10,SP,3556453,41079,162776.0099999999
2023,10,SP,3555406,147169,809646.4900000005
2023,10,SP,3505807,26305,112229.11
2023,10,SP,3527504,12932,6427.2
2023,10,SP,3542701,3837,9478.990000000002
2023,10,SP,3557303,19267,50950.82
2023,10,SP,3542909,7499,5767.37
2023,10,SP,3553856,6881,21164.8
2021,3,SP,3519071,161830,949344.250000001
2021,3,SP,3549409,76080,420536.36
2021,3,SP,3540200,27761,123968.61000000002
2021,3,SP,3516606,11680,20967.600000000002
2021,3,SP,3518909,2823,40.34
2021,3,SP,3533254,4623,2240.8799999999997
2023,12,SP,3531605,11116,2174.6
2023,12,SP,3500204,8743,1088.2099999999998
2023,12,SP,3504503,111719,1169770.1199999931
2023,12,SP,3546306,30926,78693.14000000003
2023,12,SP,3535408,6221,20437.000000000033
2021,9,SP,3518503,38242,39468.82
2021,9,SP,3549102,1103802,2129383.119999998
2021,9,SP,3513405,67565,572544.5000000006
2021,9,SP,3546207,3939,21767.03
2021,9,SP,3506904,5538,4578.259999999999
2021,9,SP,3513306,4966,350.9
2024,1,SP,3504701,754,0.0
2021,8,SP,3537107,37727,214852.71999999994
2021,8,SP,3507100,21274,22072.210000000003
2021,8,SP,3509908,4542,4555.2699999999995
2021,8,SP,3521200,746,1850.9
2024,2,SP,3536703,78399,284204.6000000001
2024,2,SP,3553005,44861,120271.94000000003
2024,2,SP,3519600,59973,247378.96999999986
2024,2,SP,3538105,12406,49100.79
2024,2,SP,3527256,8501,2653.2000000000003
2024,2,SP,3515350,16160,51342.17000000001
2023,5,SP,3549102,1456069,2896408.770000012
2023,5,SP,3542008,30027,37243.08000000002
2023,5,SP,3502408,5324,13053.009999999998
2023,5,SP,3523008,13927,72844.20999999999
2023,5,SP,3530003,6169,3675.03
2023,5,SP,3543709,86,7838.99
2023,1,SP,3556305,31896,72641.99000000002
2023,1,SP,3501707,59693,485717.3299999989
2023,1,SP,3544251,21159,148180.33000000002
2023,1,SP,3515152,14095,56522.97000000001
2023,1,SP,3521002,26424,124859.27000000002
2023,1,SP,3519402,11719,34552.77
2023,1,SP,3528106,3741,26438.019999999997
2023,1,SP,3529658,3,0.0
2021,1,SP,3501707,50120,319163.94999999774
2021,1,SP,3556404,39758,47126.73000000001
2021,1,SP,3503307,101947,936476.2200000008
2021,1,SP,3502200,18888,83960.34000000001
2021,1,SP,3511706,14084,41154.82000000001
2023,6,SP,3555208,6324,11780.459999999997
2023,6,SP,3546405,77043,453944.96999999986
2023,6,SP,3505500,1255274,12397327.479999745
2023,6,SP,3554300,41283,136103.59000000003
2023,6,SP,3550407,121499,538869.6499999998
2023,6,SP,3525003,138074,669967.0100000001
2023,6,SP,3541109,3988,0.0
2023,6,SP,3503356,1491,870.3000000000002
2023,6,SP,3504503,107393,1071865.6599999976
2023,6,SP,3545308,18278,139060.16
2023,6,SP,3514957,5720,2592.33
2023,6,SP,3539400,5991,27125.110000000008
2021,12,SP,3501707,58364,419304.69999999885
2021,12,SP,3529005,910097,4610810.279999995
2021,12,SP,3547809,1642137,6901129.789999867
2021,12,SP,3504107,147416,1601685.019999999
2021,12,SP,3542404,11031,65010.240000000005
2021,12,SP,3528106,2779,20408.059999999998
2022,11,SP,3556305,35596,74221.66999999998
2022,11,SP,3508801,35717,120662.65000000001
2022,11,SP,3519600,57469,191351.05000000008
2022,11,SP,3502200,34323,194269.17999999996
2022,11,SP,3504909,11764,70243.95999999999
2021,10,SP,3515186,44556,133884.52000000002
2021,10,SP,3501004,28375,88558.49000000005
2021,10,SP,3552700,10838,50062.53999999999
2021,10,SP,3512100,2867,12649.31
2021,10,SP,3500204,2306,4511.5599999999995
2021,10,SP,3554607,127,317.55999999999995
2022,6,SP,3529005,1079097,5324823.199999977
2022,6,SP,3541505,61245,225773.36999999918
2022,6,SP,3546603,94823,492597.02999999997
2022,6,SP,3548054,13145,20905.160000000003
2022,6,SP,3553401,7711,42940.990000000005
2022,6,SP,3522000,14182,4333.899999999999
2022,6,SP,3548302,434,1686.8500000000001
2022,6,SP,3511409,12267,76171.09000000001
2022,6,SP,3528106,4411,28718.04
2022,6,SP,3501806,2187,11068.579999999998
2023,11,SP,3526803,216405,492644.32
2023,11,SP,3540903,11814,90315.79000000002
2023,11,SP,3542206,49442,363172.7399999998
2023,11,SP,3516606,11954,22237.81000000001
2023,11,SP,3503505,5364,23085.32
2023,11,SP,3532603,11882,70720.59000000007
2023,11,SP,3532504,6655,23535.820000000003
2023,8,SP,3518107,7698,258.5
2023,8,SP,3526803,209834,623641.0600000002
2023,8,SP,3515608,5134,25415.070000000054
2023,8,SP,3531704,4398,0.0
2023,8,SP,3510104,6,0.0
2023,8,SP,3500550,6812,14712.3
2022,8,SP,3551702,304697,1602716.9000000034
2022,8,SP,3517208,18287,14491.37
2022,8,SP,3535309,60331,220201.50000000006
2022,8,SP,3528858,8443,8361.680000000004
2022,8,SP,3525904,603983,6691323.829999915
2022,8,SP,3555802,7954,40958.560000000005
2022,8,SP,3555703,685,5250.0
2022,8,SP,3533106,2721,0.0
2022,5,SP,3516903,8987,43018.42000000001
2022,5,SP,3543402,2807161,14558396.180000471
2022,5,SP,3553708,72711,713622.6200000013
2022,5,SP,3540200,37097,173520.25999999992
2022,5,SP,3556800,23974,99725.81999999999
2022,5,SP,3540903,20700,121246.70000000003
2022,5,SP,3512704,9448,24984.63
2022,5,SP,3543253,1582,2298.6800000000003
2022,3,SP,3513009,254984,1184808.7699999984
2022,3,SP,3550308,31170679,149167160.54991177
2022,3,SP,3510609,244584,1902346.8600000043
