ano,mes,sigla_uf,id_municipio,id_estabelecimento_cnes,tipo_unidade,id_natureza_juridica,quantidade_leito_cirurgico,quantidade_leito_clinico,quantidade_leito_complementar,indicador_atencao_ambulatorial
2024,1,SP,3518800,3226921,2,1244,0,0,0,1
2024,1,SP,3518800,2062070,2,1244,0,0,0,1
2024,1,SP,3518800,2054531,2,1244,0,0,0,1
2024,1,SP,3518800,5275806,2,1244,0,0,0,1
2024,1,SP,3503901,2773856,2,1244,0,0,0,1
2024,1,SP,3503901,2773228,2,1244,0,0,0,1
2024,1,SP,3528502,5453704,2,1244,0,0,0,1
2024,1,SP,3528502,6713424,2,1244,0,0,0,1
2024,1,SP,3528502,9094199,2,1244,0,0,0,1
2024,1,SP,3528502,6990878,2,1244,0,0,0,1
2024,1,SP,3528502,5046947,2,1244,0,0,0,1
2024,1,SP,3528502,5457548,2,1244,0,0,0,1
2024,1,SP,3509205,2096161,2,1244,0,0,0,1
2024,1,SP,3509205,2096269,2,1244,0,0,0,1
2024,1,SP,3516408,9000224,2,1244,0,0,0,1
2024,1,SP,3516408,2706091,2,1244,0,0,0,1
2024,1,SP,3516408,0603988,2,1244,0,0,0,1
2024,1,SP,3516408,5303966,2,1147,0,0,0,1
2024,1,SP,3516309,2921359,2,1031,0,0,0,1
2024,1,SP,3516309,2083760,2,1031,0,0,0,1
2024,1,SP,3550308,2788659,2,1031,0,0,0,1
2024,1,SP,3550308,2787237,2,1031,0,0,0,1
2024,1,SP,3550308,2786907,2,1031,0,0,0,1
2024,1,SP,3550308,2787717,2,1031,0,0,0,1
2024,1,SP,3550308,2787059,2,1031,0,0,0,1
2024,1,SP,3550308,3661660,2,1031,0,0,0,1
2024,1,SP,3515707,2773783,2,1244,0,0,0,1
2024,1,SP,3523107,2718812,2,1244,0,0,0,1
2024,1,SP,3523107,2718782,2,1244,0,0,0,1
2024,1,SP,3552502,2773813,2,1244,0,0,0,1
2024,1,SP,3530607,2773570,2,1244,0,0,0,1
2024,1,SP,3530607,3342174,2,1244,0,0,0,1
2024,1,SP,3530607,2773554,2,1244,0,0,0,1
2024,1,SP,3530607,2773678,2,1244,0,0,0,1
2024,1,SP,3518305,2718626,2,1244,0,0,0,1
2024,1,SP,3545001,2072289,2,1244,0,0,0,1
2024,1,SP,3547809,0008958,2,1244,0,0,0,1
2024,1,SP,3547809,0008613,2,1244,0,0,0,1
2024,1,SP,3547809,0008591,2,1244,0,0,0,1
2024,1,SP,3547809,0008524,2,1244,0,0,0,1
2024,1,SP,3547809,0008850,2,1244,0,0,0,1
