id_municipio,nome_municipio,qtd_atendimentos_periodo,populacao,APC
3508306,CABRALIA PAULISTA,523417.0,4362,119.99472718936268
3508405,CABREUVA,4321925.0,48473,89.16149196459885
3508504,CACAPAVA,5273404.0,99678,52.90439214269949
3508603,CACHOEIRA PAULISTA,936536.0,32482,28.832461055353733
3508702,CACONDE,747891.0,17266,43.31582300474922
3508801,CAFELANDIA,1133415.0,16905,67.04614019520852
3508900,CAIABU,14588.0,3745,3.8953271028037384
3509007,CAIEIRAS,6042621.0,98257,61.49812227118679
3509106,CAIUA,232791.0,5585,41.681468218442255
3509205,CAJAMAR,6062353.0,97363,62.26547045592268
3509254,CAJATI,1325374.0,29257,45.30109033735516
3509304,CAJOBI,283042.0,9232,30.658795493934143
3509403,CAJURU,2043185.0,24217,84.36986414502209
3509452,CAMPINA DO MONTE ALEGRE,110272.0,6077,18.145795622840218
3509502,CAMPINAS,180357048.0,1185977,152.07465912070808
3509601,CAMPO LIMPO PAULISTA,8631425.0,79663,108.34923364673688
3509700,CAMPOS DO JORDAO,2459100.0,47983,51.249400829460434
3509809,CAMPOS NOVOS PAULISTA,660753.0,4991,132.38890002003606
3509908,CANANEIA,971021.0,12489,77.7501000880775
3509957,CANAS,74287.0,5049,14.713210536739949
3510005,CANDIDO MOTA,2063300.0,30172,68.38459498873128
3510104,CANDIDO RODRIGUES,1890.0,2951,0.6404608607251779
3510153,CANITAR,150182.0,6524,23.019926425505826
3510203,CAPAO BONITO,1869382.0,47403,39.43594287281395
3510302,CAPELA DO ALTO,1126344.0,23597,47.732508369708015
3510401,CAPIVARI,2492709.0,51318,48.573775283526246
3510500,CARAGUATATUBA,11253547.0,141084,79.76487057355901
3510609,CARAPICUIBA,11348932.0,398462,28.481842685124303
3510708,CARDOSO,420252.0,11491,36.57227395352885
3510807,CASA BRANCA,1804492.0,28786,62.68644479955534
3510906,CASSIA DOS COQUEIROS,20840.0,2855,7.299474605954466
3511003,CASTILHO,1481112.0,20418,72.53952394945637
3511102,CATANDUVA,9869228.0,119172,82.81499009834525
3511201,CATIGUA,19956.0,7105,2.8087262491203377
3511300,CEDRAL,508321.0,13160,38.626215805471126
3511409,CERQUEIRA CESAR,560903.0,22076,25.407818445370538
3511508,CERQUILHO,2303889.0,46217,49.849384425644246
3511607,CESARIO LANGE,630592.0,19588,32.19277108433735
3511706,CHARQUEADA,1058197.0,15798,66.98297252816812
3511904,CLEMENTINA,190469.0,7087,26.87582898264428
3512001,COLINA,1483953.0,18842,78.75772211017939
3512100,COLOMBIA,283846.0,6781,41.85901784397581
3512209,CONCHAL,1613527.0,29034,55.57370668870979
3512308,CONCHAS,1315968.0,15381,85.55802613614199
3512407,CORDEIROPOLIS,1451091.0,25130,57.7433744528452
3512506,COROADOS,435205.0,5498,79.15696616951618
3512605,CORONEL MACEDO,38275.0,4295,8.91152502910361
3512704,CORUMBATAI,310845.0,4285,72.54259043173862
3512803,COSMOPOLIS,2107541.0,61204,34.434693810862036
3512902,COSMORAMA,103698.0,8968,11.563113291703836
3513009,COTIA,11845807.0,287004,41.274013602597876
3513108,CRAVINHOS,2043306.0,34252,59.65508583440383
3513207,CRISTAIS PAULISTA,116597.0,9543,12.218065597820392
3513306,CRUZALIA,87045.0,2129,40.885392202912165
3513405,CRUZEIRO,3655430.0,76513,47.775280017774755
3513504,CUBATAO,7042776.0,115082,61.197893675813766
3513603,CUNHA,658162.0,22456,29.3089597434984
3513702,DESCALVADO,1873868.0,32622,57.44184905891729
3513801,DIADEMA,15843558.0,404118,39.205276676614254
3513850,DIRCE REIS,212.0,1641,0.1291895185862279
3513900,DIVINOLANDIA,1640191.0,11314,144.97003712214956
3514007,DOBRADA,42330.0,8958,4.725385130609511
3514106,DOIS CORREGOS,1846821.0,24855,74.30380205190103
3514205,DOLCINOPOLIS,15581.0,2250,6.924888888888889
3514304,DOURADO,438724.0,8186,53.59442951380406
3514403,DRACENA,3728648.0,46664,79.90416595234014
3514502,DUARTINA,1677446.0,12529,133.88506664538272
3514601,DUMONT,88564.0,9719,9.112460129642967
3514700,ECHAPORA,53070.0,6295,8.430500397140587
3514809,ELDORADO,408009.0,13162,30.999012308159855
3514908,ELIAS FAUSTO,866852.0,18103,47.8844390432525
3514924,ELISIARIO,38850.0,3189,12.182502351834431
3514957,EMBAUBA,201859.0,2353,85.78793030174246
3515004,EMBU DAS ARTES,9015474.0,259323,34.76542381508775
3515103,EMBU-GUACU,2387169.0,68805,34.694702419882276
3515129,EMILIANOPOLIS,7850.0,3062,2.5636838667537556
3515152,ENGENHEIRO COELHO,618942.0,20139,30.73350215998808
3515186,ESPIRITO SANTO DO PINHAL,2476516.0,40681,60.876477962685286
3515194,ESPIRITO SANTO DO TURVO,212485.0,4217,50.38771638605644
3515202,ESTRELA D'OESTE,396912.0,9655,41.10947695494563
3515301,ESTRELA DO NORTE,30331.0,2749,11.033466715169153
3515350,EUCLIDES DA CUNHA PAULISTA,651244.0,7928,82.14480322906155
3515400,FARTURA,557186.0,16984,32.80652378709374
3515509,FERNANDOPOLIS,4639681.0,73286,63.309240509783585
3515608,FERNANDO PRESTES,130966.0,6066,21.590174744477416
3515657,FERNAO,4452.0,1689,2.635879218472469
3515707,FERRAZ DE VASCONCELOS,6394270.0,185622,34.44780252340779
3515806,FLORA RICA,112707.0,1492,75.54088471849866
3515905,FLOREAL,113854.0,2756,41.31132075471698
3516002,FLORIDA PAULISTA,633334.0,13171,48.08549085111229
3516101,FLORINEA,556498.0,3987,139.57812891898672
3516200,FRANCA,58373917.0,364331,160.22220727854616
3516309,FRANCISCO MORATO,7585405.0,171107,44.33135406500026
3516408,FRANCO DA ROCHA,19386324.0,149786,129.42680891405072
3516507,GABRIEL MONTEIRO,1009.0,2811,0.35894699395233015
3516606,GALIA,590091.0,6435,91.7002331002331
3516705,GARCA,3647584.0,43115,84.60127565812363
3516804,GASTAO VIDIGAL,37353.0,3235,11.546522411128285
3516853,GAVIAO PEIXOTO,131347.0,4797,27.381071503022724
3516903,GENERAL SALGADO,258654.0,10449,24.75394774619581
3517000,GETULINA,985504.0,10355,95.17180106228875
3517109,GLICERIO,419057.0,4173,100.42104001917086
3517208,GUAICARA,658559.0,11459,57.47089623876429
3517307,GUAIMBE,140607.0,5606,25.081519800214057
3517406,GUAIRA,3877073.0,40424,95.91017712250148
3517505,GUAPIACU,2134416.0,22316,95.64509768775767
3517604,GUAPIARA,315611.0,17256,18.289928140936485
3517703,GUARA,2032856.0,18790,108.18818520489621
3517802,GUARACAI,588792.0,7486,78.65241784664707
3517901,GUARACI,1111699.0,10542,105.45427812559286
3518008,GUARANI D'OESTE,109186.0,1999,54.62031015507754
3518107,GUARANTA,248904.0,6531,38.11116214974736
3518206,GUARARAPES,1792440.0,31872,56.23870481927711
3518305,GUARAREMA,1913410.0,32436,58.99031939819953
3518404,GUARATINGUETA,4524590.0,121710,37.17517048722373
3518503,GUAREI,1528842.0,15268,100.133743777836
3518602,GUARIBA,2180535.0,38609,56.47737574140744
3518701,GUARUJA,16579423.0,294973,56.20657822919386
3518800,GUARULHOS,69251771.0,1345364,51.47437496469357
3518859,GUATAPARA,515118.0,7462,69.03216295899223
3518909,GUZOLANDIA,360676.0,4276,84.3489242282507
3519006,HERCULANDIA,548221.0,9302,58.93582025370888
3519055,HOLAMBRA,452283.0,15596,28.999935880995128
3519071,HORTOLANDIA,11174546.0,247331,45.18053135272166
3519105,IACANGA,231828.0,10633,21.802689739490265
3519204,IACRI,416031.0,6207,67.02609956500724
3519253,IARAS,121221.0,8257,14.68099794114085
3519303,IBATE,1596707.0,33110,48.22431289640592
3519402,IBIRA,414570.0,11934,34.73856209150327
3519501,IBIRAREMA,1069171.0,6461,165.48073053706855
3519600,IBITINGA,2684880.0,61908,43.368869936034116
3519709,IBIUNA,6301612.0,77651,81.15300511261928
3519808,ICEM,257922.0,7969,32.36566695946794
3519907,IEPE,643406.0,7739,83.13813154154283
3520004,IGARACU DO TIETE,1056329.0,23430,45.08446436192915
3520103,IGARAPAVA,1887848.0,26755,70.56056811810876
3520202,IGARATA,474748.0,10904,43.53888481291269
3520301,IGUAPE,1211080.0,29881,40.530102740872124
3520400,ILHABELA,3582796.0,36329,98.62082633708607
3520426,ILHA COMPRIDA,1120557.0,13955,80.29788606234325
3520442,ILHA SOLTEIRA,1289551.0,26240,49.14447408536585
3520509,INDAIATUBA,14250568.0,267796,53.2142675768122
3520608,INDIANA,108068.0,5191,20.81833943363514
3520707,INDIAPORA,374684.0,4109,91.1861766853249
3520806,INUBIA PAULISTA,270097.0,3671,73.57586488695179
3520905,IPAUSSU,457074.0,13933,32.80513887892055
3521002,IPERO,1263129.0,37999,33.241111608200214
3521101,IPEUNA,481323.0,6999,68.77025289327047
3521150,IPIGUA,33070.0,7037,4.699445786556772
3521200,IPORANGA,921407.0,4091,225.22781715961867
3521309,IPUA,406735.0,14691,27.68599823020897
3521408,IRACEMAPOLIS,716139.0,22435,31.9206151103187
3521507,IRAPUA,1665996.0,6946,239.84969766772244
3521606,IRAPURU,231651.0,7145,32.421413575927225
3521705,ITABERA,1439032.0,18258,78.81651878628547
3521804,ITAI,683606.0,25930,26.36351716158889
3521903,ITAJOBI,1801703.0,17420,103.4272675086108
3522000,ITAJU,426125.0,3702,115.10669908157753
3522109,ITANHAEM,6105013.0,117435,51.98631583429131
3522158,ITAOCA,7395.0,3490,2.1189111747851004
3522208,ITAPECERICA DA SERRA,9915248.0,163928,60.48538382704602
3522307,ITAPETININGA,6335558.0,163774,38.6847607068277
3522406,ITAPEVA,7695035.0,92324,83.34815432606906
3522505,ITAPEVI,11602517.0,241924,47.95934673699178
3522604,ITAPIRA,4924025.0,73919,66.61379347664335
3522653,ITAPIRAPUA PAULISTA,100957.0,4405,22.91872871736663
3522703,ITAPOLIS,2503153.0,40464,61.86123467773824
3522802,ITAPORANGA,909497.0,14260,63.77959326788219
3522901,ITAPUI,4994096.0,13984,357.129290617849
3523008,ITAPURA,408748.0,4014,101.83059292476332
3523107,ITAQUAQUECETUBA,15513689.0,382521,40.556437424350555
3523206,ITARARE,997974.0,45327,22.017208286451783
3523305,ITARIRI,22217.0,15762,1.4095292475574166
3523404,ITATIBA,7156119.0,126403,56.613521830969205
3523503,ITATINGA,465929.0,19427,23.98357955422865
3523602,ITIRAPINA,1060707.0,16433,64.54737418608897
3523701,ITIRAPUA,210956.0,5861,35.99317522607063
3523800,ITOBI,485863.0,8210,59.179415347137635
3523909,ITU,9971326.0,174561,57.12230108672613
3524006,ITUPEVA,4506383.0,74119,60.79929572714149
3524105,ITUVERAVA,2117267.0,38451,55.064029544095085
3524204,JABORANDI,728323.0,6293,115.73542030827905
3524303,JABOTICABAL,5742565.0,73467,78.16523064777383
3524402,JACAREI,11330066.0,249968,45.326065736414265
3524501,JACI,436280.0,7878,55.37953795379538
3524600,JACUPIRANGA,805769.0,16254,49.573581887535376
3524709,JAGUARIUNA,3893319.0,61801,62.99766994061585
3524808,JALES,3762024.0,50017,75.21490693164324
3524907,JAMBEIRO,49800.0,6575,7.574144486692015
3525003,JANDIRA,5314015.0,121988,43.56178476571466
3525102,JARDINOPOLIS,2238504.0,46868,47.76188444140992
3525201,JARINU,1626248.0,39531,41.138549492803115
3525300,JAU,7616755.0,137323,55.46598166366887
3525409,JERIQUARA,40850.0,3976,10.274144869215291
3525508,JOANOPOLIS,491656.0,13095,37.545322642229856
3525607,JOAO RAMALHO,180900.0,4456,40.59694793536804
3525706,JOSE BONIFACIO,2166195.0,37859,57.21743838981484
3525805,JULIO MESQUITA,6558.0,4308,1.5222841225626742
3525854,JUMIRIM,85569.0,3123,27.399615754082614
3525904,JUNDIAI,26314171.0,460313,57.165821951585116
3526001,JUNQUEIROPOLIS,1051389.0,20878,50.35870294089472
3526100,JUQUIA,1056448.0,17255,61.2256157635468
3526209,JUQUITIBA,942501.0,28007,33.65233691577106
3526308,LAGOINHA,72134.0,5182,13.920108066383635
3526407,LARANJAL PAULISTA,1430603.0,27009,52.96764041615758
3526506,LAVINIA,328681.0,9909,33.169946513270766
3526605,LAVRINHAS,16866.0,7328,2.301582969432314
3526704,LEME,7573609.0,101316,74.75234908602788
3526803,LENCOIS PAULISTA,6620268.0,68395,96.79461948972879
3526902,LIMEIRA,11466954.0,300728,38.13064962358011
3527009,LINDOIA,2015440.0,7147,281.998041136141
3527108,LINS,2444986.0,76729,31.865213934757392
3527207,LORENA,4183775.0,87370,47.88571592079661
3527256,LOURDES,390992.0,1968,198.6747967479675
3527306,LOUVEIRA,3024068.0,54111,55.88638169688233
3527405,LUCELIA,1289698.0,20372,63.3073826821127
3527504,LUCIANOPOLIS,230406.0,2419,95.24844977263332
3527603,LUIS ANTONIO,422047.0,12531,33.68023302210518
3527702,LUIZIANIA,477123.0,4751,100.4258050936645
3527801,LUPERCIO,156729.0,4017,39.016430171769976
3527900,LUTECIA,101956.0,2699,37.775472397184146
3528007,MACATUBA,1777906.0,17120,103.84964953271027
3528106,MACAUBAL,314449.0,7587,41.44576248846712
3528205,MACEDONIA,78042.0,4048,19.279150197628457
3528304,MAGDA,61298.0,3212,19.084059775840597
3528403,MAIRINQUE,1546391.0,51660,29.9340108401084
3528502,MAIRIPORA,5248595.0,97399,53.88756558075545
3528601,MANDURI,271704.0,10092,26.92271105826397
3528700,MARABA PAULISTA,25871.0,4627,5.591311865139399
3528809,MARACAI,1264535.0,12826,98.59153282395135
3528858,MARAPOAMA,377208.0,3392,111.20518867924528
3528908,MARIAPOLIS,324779.0,3539,91.77140435151172
3529005,MARILIA,41179113.0,246627,166.9692004525052
3529104,MARINOPOLIS,82105.0,1870,43.906417112299465
3529203,MARTINOPOLIS,582980.0,25299,23.043598561207954
3529302,MATAO,2850875.0,80998,35.19685671251142
3529401,MAUA,15829490.0,429380,36.865922958684614
3529500,MENDONCA,614299.0,6369,96.45140524415136
3529609,MERIDIANO,16635.0,4697,3.5416223121141153
3529658,MESOPOLIS,12842.0,1988,6.459758551307847
3529708,MIGUELOPOLIS,636930.0,19655,32.405494785041974
3529807,MINEIROS DO TIETE,678608.0,11349,59.794519340911094
3529906,MIRACATU,1092632.0,18679,58.4952085229402
3530003,MIRA ESTRELA,172363.0,3199,53.880275085964364
3530102,MIRANDOPOLIS,1897905.0,28737,66.04395030796535
3530201,MIRANTE DO PARANAPANEMA,1228373.0,16069,76.44364926255523
3530300,MIRASSOL,2094947.0,65485,31.991249904558295
3530409,MIRASSOLANDIA,1142040.0,4771,239.3712010060784
