ano,sigla_uf,id_municipio,populacao
2021,SP,3521309,16794
2021,SP,3521408,24982
2021,SP,3521507,8101
2021,SP,3521606,8356
2021,SP,3521705,17405
2021,SP,3521804,27632
2021,SP,3521903,15331
2021,SP,3522000,3937
2021,SP,3522109,104351
2021,SP,3522158,3332
2021,SP,3522208,179574
2021,SP,3522307,167106
2021,SP,3522406,95241
2021,SP,3522505,244131
2021,SP,3522604,75683
2021,SP,3522653,4294
2021,SP,3522703,43536
2021,SP,3522802,15197
2021,SP,3522901,14297
2021,SP,3523008,4994
2021,SP,3523107,379082
2021,SP,3523206,50778
2021,SP,3523305,17754
2021,SP,3523404,124254
2021,SP,3523503,21139
2021,SP,3523602,18610
2021,SP,3523701,6587
2021,SP,3523800,7862
2021,SP,3523909,177150
2021,SP,3524006,64330
2021,SP,3524105,42259
2021,SP,3524204,6963
2021,SP,3524303,78029
2021,SP,3524402,237119
2021,SP,3524501,7322
2021,SP,3524600,17911
2021,SP,3524709,59921
2021,SP,3524808,49291
2021,SP,3524907,6828
2021,SP,3525003,127734
2021,SP,3525102,45544
2021,SP,3525201,31173
2021,SP,3525300,153463
2021,SP,3525409,3143
2021,SP,3525508,13453
2021,SP,3525607,4577
2021,SP,3525706,37707
2021,SP,3525805,4824
2021,SP,3525854,3467
2021,SP,3525904,426935
2021,SP,3526001,20978
2021,SP,3526100,18627
2021,SP,3526209,31844
2021,SP,3526308,4882
2021,SP,3526407,29047
2021,SP,3526506,12581
2021,SP,3526605,7361
2021,SP,3526704,105273
2021,SP,3526803,69533
2021,SP,3526902,310783
2021,SP,3527009,8201
2021,SP,3527108,78978
2021,SP,3527207,89532
2021,SP,3527256,2311
2021,SP,3527306,51007
2021,SP,3527405,22022
2021,SP,3527504,2412
2021,SP,3527603,15628
2021,SP,3527702,5918
2021,SP,3527801,4608
2021,SP,3527900,2623
2021,SP,3528007,17263
2021,SP,3528106,8174
2021,SP,3528205,3686
2021,SP,3528304,3086
2021,SP,3528403,47723
2021,SP,3528502,103645
2021,SP,3528601,9972
2021,SP,3528700,6039
2021,SP,3528809,14069
2021,SP,3528858,3097
2021,SP,3528908,4098
2021,SP,3529005,242249
2021,SP,3529104,2101
2021,SP,3529203,26791
2021,SP,3529302,84069
2021,SP,3529401,481725
2021,SP,3529500,5638
2021,SP,3529609,3813
2021,SP,3529658,1903
2021,SP,3529708,22480
2021,SP,3529807,13023
2021,SP,3529906,19511
2021,SP,3530003,3125
2021,SP,3530102,29844
2021,SP,3530201,18415
2021,SP,3530300,60768
2021,SP,3530409,4966
2021,SP,3530508,69072
2021,SP,3530607,455587
2021,SP,3530706,154146
2021,SP,3530805,94098
2021,SP,3530904,3523
2021,SP,3531001,2274
2021,SP,3531100,58567
2021,SP,3531209,8181
2021,SP,3531308,51039
2021,SP,3531407,25651
2021,SP,3531506,18928
2021,SP,3531605,4166
2021,SP,3531704,4739
2021,SP,3531803,61707
2021,SP,3531902,33598
2021,SP,3532009,13936
2021,SP,3532058,4831
2021,SP,3532108,4525
2021,SP,3532157,3215
2021,SP,3532207,4950
2021,SP,3532306,6624
2021,SP,3532405,18866
2021,SP,3532504,8917
2021,SP,3532603,11575
2021,SP,3532702,5381
2021,SP,3532801,7161
2021,SP,3532827,9962
2021,SP,3532843,1824
2021,SP,3532868,1290
2021,SP,3532900,11519
2021,SP,3533007,21871
2021,SP,3533106,2333
2021,SP,3533205,4135
2021,SP,3533254,6057
2021,SP,3533304,4217
2021,SP,3533403,61716
2021,SP,3533502,41765
2021,SP,3533601,7522
2021,SP,3533700,4294
2021,SP,3533809,2447
2021,SP,3533908,55477
2021,SP,3534005,4462
2021,SP,3534104,6569
2021,SP,3534203,7318
2021,SP,3534302,44682
2021,SP,3534401,701428
2021,SP,3534500,2603
2021,SP,3534609,33118
2021,SP,3534708,115139
2021,SP,3534757,10712
2021,SP,3534807,8676
2021,SP,3534906,14326
2021,SP,3535002,13285
2021,SP,3535101,13691
2021,SP,3535200,9173
2021,SP,3535309,22322
2021,SP,3535408,15944
2021,SP,3535507,46180
2021,SP,3535606,18302
2021,SP,3535705,6536
2021,SP,3535804,20588
2021,SP,3535903,4112
2021,SP,3536000,10934
2021,SP,3536109,6579
2021,SP,3536208,19797
2021,SP,3536257,2177
2021,SP,3536307,14941
2021,SP,3536406,7540
2021,SP,3536505,114508
2021,SP,3536570,1835
2021,SP,3536604,8973
2021,SP,3536703,47523
2021,SP,3536802,6127
2021,SP,3536901,2468
2021,SP,3537008,16876
2021,SP,3537107,48992
2021,SP,3537156,3109
2021,SP,3537206,11507
2021,SP,3537305,64098
2021,SP,3537404,25685
2021,SP,3537503,8875
2021,SP,3537602,69697
2021,SP,3537701,6093
2021,SP,3537800,55731
2021,SP,3537909,29612
2021,SP,3538006,171885
2021,SP,3538105,17378
2021,SP,3538204,15564
2021,SP,3538303,3706
2021,SP,3538501,13495
2021,SP,3538600,27617
2021,SP,3538709,410275
2021,SP,3538808,29930
2021,SP,3538907,25939
2021,SP,3539004,11524
2021,SP,3539103,19453
2021,SP,3539202,27974
2021,SP,3539301,77330
2021,SP,3539400,13890
