 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovada por Município
Período:Jan/2022-Jan/2025
"Município";"Qtd.aprovada"
"351630 FRANCISCO MORATO";7585405
"351640 FRANCO DA ROCHA";19386324
"351650 GABRIEL MONTEIRO";1009
"351660 GALIA";590091
"351670 GARCA";3647584
"351680 GASTAO VIDIGAL";37353
"351685 GAVIAO PEIXOTO";131347
"351690 GENERAL SALGADO";258654
"351700 GETULINA";985504
"351710 GLICERIO";419057
"351720 GUAICARA";658559
"351730 GUAIMBE";140607
"351740 GUAIRA";3877073
"351750 GUAPIACU";2134416
"351760 GUAPIARA";315611
"351770 GUARA";2032856
"351780 GUARACAI";588792
"351790 GUARACI";1111699
"351800 GUARANI D'OESTE";109186
"351810 GUARANTA";248904
"351820 GUARARAPES";1792440
"351830 GUARAREMA";1913410
"351840 GUARATINGUETA";4524590
"351850 GUAREI";1528842
"351860 GUARIBA";2180535
"351870 GUARUJA";16579423
"351880 GUARULHOS";69251771
"351885 GUATAPARA";515118
"351890 GUZOLANDIA";360676
"351900 HERCULANDIA";548221
"351905 HOLAMBRA";452283
"351907 HORTOLANDIA";11174546
"351910 IACANGA";231828
"351920 IACRI";416031
"351925 IARAS";121221
"351930 IBATE";1596707
"351940 IBIRA";414570
"351950 IBIRAREMA";1069171
"351960 IBITINGA";2684880
"351970 IBIUNA";6301612
"351980 ICEM";257922
"351990 IEPE";643406
"352000 IGARACU DO TIETE";1056329
"352010 IGARAPAVA";1887848
"352020 IGARATA";474748
"352030 IGUAPE";1211080
"352040 ILHABELA";3582796
"352042 ILHA COMPRIDA";1120557
"352044 ILHA SOLTEIRA";1289551
"352050 INDAIATUBA";14250568
"352060 INDIANA";108068
"352070 INDIAPORA";374684
"352080 INUBIA PAULISTA";270097
"352090 IPAUSSU";457074
"352100 IPERO";1263129
"352110 IPEUNA";481323
"352115 IPIGUA";33070
"352120 IPORANGA";921407
"352130 IPUA";406735
"352140 IRACEMAPOLIS";716139
"352150 IRAPUA";1665996
"352160 IRAPURU";231651
"352170 ITABERA";1439032
"352180 ITAI";683606
"352190 ITAJOBI";1801703
"352200 ITAJU";426125
"352210 ITANHAEM";6105013
"352215 ITAOCA";7395
"352220 ITAPECERICA DA SERRA";9915248
"352230 ITAPETININGA";6335558
"352240 ITAPEVA";7695035
"352250 ITAPEVI";11602517
"352260 ITAPIRA";4924025
"352265 ITAPIRAPUA PAULISTA";100957
"352270 ITAPOLIS";2503153
"352280 ITAPORANGA";909497
"352290 ITAPUI";4994096
"352300 ITAPURA";408748
"352310 ITAQUAQUECETUBA";15513689
"352320 ITARARE";997974
"352330 ITARIRI";22217
"352340 ITATIBA";7156119
"352350 ITATINGA";465929
"352360 ITIRAPINA";1060707
"352370 ITIRAPUA";210956
"352380 ITOBI";485863
"352390 ITU";9971326
"352400 ITUPEVA";4506383
"352410 ITUVERAVA";2117267
"352420 JABORANDI";728323
"352430 JABOTICABAL";5742565
"352440 JACAREI";11330066
"352450 JACI";436280
"352460 JACUPIRANGA";805769
"352470 JAGUARIUNA";3893319
"352480 JALES";3762024
"352490 JAMBEIRO";49800
"352500 JANDIRA";5314015
"352510 JARDINOPOLIS";2238504
"352520 JARINU";1626248
"352530 JAU";7616755
"352540 JERIQUARA";40850
"352550 JOANOPOLIS";491656
"352560 JOAO RAMALHO";180900
"352570 JOSE BONIFACIO";2166195
"352580 JULIO MESQUITA";6558
"352585 JUMIRIM";85569
"352590 JUNDIAI";26314171
"352600 JUNQUEIROPOLIS";1051389
"352610 JUQUIA";1056448
"352620 JUQUITIBA";942501
"352630 LAGOINHA";72134
"352640 LARANJAL PAULISTA";1430603
"352650 LAVINIA";328681
"352660 LAVRINHAS";16866
"352670 LEME";7573609
"352680 LENCOIS PAULISTA";6620268
"352690 LIMEIRA";11466954
"352700 LINDOIA";2015440
"352710 LINS";2444986
"352720 LORENA";4183775
"352725 LOURDES";390992
"352730 LOUVEIRA";3024068
"352740 LUCELIA";1289698
"352750 LUCIANOPOLIS";230406
"352760 LUIS ANTONIO";422047
"352770 LUIZIANIA";477123
"352780 LUPERCIO";156729
"352790 LUTECIA";101956
"352800 MACATUBA";1777906
"352810 MACAUBAL";314449
"352820 MACEDONIA";78042
"352830 MAGDA";61298
"352840 MAIRINQUE";1546391
"352850 MAIRIPORA";5248595
"352860 MANDURI";271704
"352870 MARABA PAULISTA";25871
"352880 MARACAI";1264535
"352885 MARAPOAMA";377208
"352890 MARIAPOLIS";324779
"352900 MARILIA";41179113
"352910 MARINOPOLIS";82105
"352920 MARTINOPOLIS";582980
"352930 MATAO";2850875
"352940 MAUA";15829490
"352950 MENDONCA";614299
"352960 MERIDIANO";16635
"352965 MESOPOLIS";12842
"352970 MIGUELOPOLIS";636930
"352980 MINEIROS DO TIETE";678608
"352990 MIRACATU";1092632
"353000 MIRA ESTRELA";172363
"353010 MIRANDOPOLIS";1897905
"353020 MIRANTE DO PARANAPANEMA";1228373
"353030 MIRASSOL";2094947
"353040 MIRASSOLANDIA";1142040
"353050 MOCOCA";3475669
"353060 MOGI DAS CRUZES";47126642
"353070 MOGI GUACU";5022748
"353080 MOGI MIRIM";4964976
"353090 MOMBUCA";241277
"353100 MONCOES";24536
"353110 MONGAGUA";3729006
"353120 MONTE ALEGRE DO SUL";752933
"353130 MONTE ALTO";4578024
"353140 MONTE APRAZIVEL";558282
"353150 MONTE AZUL PAULISTA";1602950
"353160 MONTE CASTELO";462459
"353170 MONTEIRO LOBATO";145805
"353180 MONTE MOR";2589188
"353190 MORRO AGUDO";2102601
"353200 MORUNGABA";910601
"353205 MOTUCA";222129
"353210 MURUTINGA DO SUL";135237
"353215 NANTES";15464
"353220 NARANDIBA";462006
"353230 NATIVIDADE DA SERRA";45655
"353240 NAZARE PAULISTA";687692
"353250 NEVES PAULISTA";340959
"353260 NHANDEARA";479923
"353270 NIPOA";346171
"353280 NOVA ALIANCA";275588
"353282 NOVA CAMPINA";889002
"353284 NOVA CANAA PAULISTA";154580
"353286 NOVA CASTILHO";85519
"353290 NOVA EUROPA";301062
"353300 NOVA GRANADA";998743
"353310 NOVA GUATAPORANGA";108454
"353320 NOVA INDEPENDENCIA";1513
"353325 NOVAIS";361206
"353330 NOVA LUZITANIA";233291
"353340 NOVA ODESSA";2976441
"353350 NOVO HORIZONTE";3011315
"353360 NUPORANGA";331205
"353370 OCAUCU";5482
"353380 OLEO";66939
"353390 OLIMPIA";8239118
"353400 ONDA VERDE";310868
"353410 ORIENTE";664253
"353420 ORINDIUVA";304207
"353430 ORLANDIA";761712
"353440 OSASCO";113413818
"353450 OSCAR BRESSANE";261607
"353460 OSVALDO CRUZ";1104230
"353470 OURINHOS";5869051
"353475 OUROESTE";901179
"353480 OURO VERDE";128558
"353490 PACAEMBU";775774
"353500 PALESTINA";984145
"353510 PALMARES PAULISTA";660536
"353520 PALMEIRA D'OESTE";292409
"353530 PALMITAL";2072206
"353540 PANORAMA";379195
"353550 PARAGUACU PAULISTA";1335215
"353560 PARAIBUNA";381072
"353570 PARAISO";383736
"353580 PARANAPANEMA";732522
"353590 PARANAPUA";34871
"353600 PARAPUA";26160
"353610 PARDINHO";241452
"353620 PARIQUERA-ACU";2903602
"353625 PARISI";743632
"353630 PATROCINIO PAULISTA";894224
"353640 PAULICEIA";115177
"353650 PAULINIA";6604571
"353657 PAULISTANIA";11022
"353660 PAULO DE FARIA";462525
"353670 PEDERNEIRAS";2670801
"353680 PEDRA BELA";161106
"353690 PEDRANOPOLIS";911
"353700 PEDREGULHO";297660
"353710 PEDREIRA";3120519
"353715 PEDRINHAS PAULISTA";496092
"353720 PEDRO DE TOLEDO";544324
"353730 PENAPOLIS";4074724
"353740 PEREIRA BARRETO";562371
"353750 PEREIRAS";133313
"353760 PERUIBE";4779938
"353770 PIACATU";524187
"353780 PIEDADE";1049929
