id_municipio,nome_municipio,qtd_atendimentos_periodo,populacao,APC,EPC,PPC,leitos_per_1000,epc_x_ppc,variacao_epc_pct,variacao_ppc_pct,log_populacao,log_APC,APC_previsto,residuo
3525300,JAU,7616755.0,137323,55.46598166366887,3.641050661578905,40.75792110571427,4.551313326973632,148.40165560654174,16.652726028785683,17.00024030389503,11.83009837618904,4.033638362372405,137.3435090132866,-81.87752734961772
3518404,GUARATINGUETA,4524590.0,121710,37.17517048722373,3.36044696409498,33.777010927614825,2.456659272040095,113.5058538279062,11.584954825010445,60.720646202963515,11.709404661086595,3.642185317033787,106.49689979860977,-69.32172931138604
3548906,SAO CARLOS,4112759.0,265294,15.50264612090737,3.863638077001364,22.145242636471234,1.4926835887732102,85.56120267470433,20.904576924824052,31.395958705519778,12.488597693359464,2.8035207390125696,81.23340923424789,-65.73076311334052
3501806,AMERICO DE CAMPOS,79999.0,5975,13.388953974895395,1.8410041841004183,22.594142259414227,0.0,41.59591043574167,57.61625821876866,34.06603421848462,8.695506726812653,2.666460827144946,68.98523928284976,-55.59628530795437
3527207,LORENA,4183775.0,87370,47.88571592079661,3.9372782419594823,33.627103124642325,1.7969554767082523,132.39926147278194,21.55599846866082,19.33023372792219,11.377918698802924,3.889485245849817,99.35462158036087,-51.46890565956426
3552007,SILVEIRAS,111583.0,6313,17.675114842388723,1.9008395374623792,20.75083161729764,0.1584032947885316,39.44400117338376,73.11217216175241,25.987191962164218,8.750524669117937,2.9271918805254735,67.08996060277023,-49.41484576038151
3515608,FERNANDO PRESTES,130966.0,6066,21.590174744477416,1.483679525222552,21.76063303659743,0.0,32.28580569228106,23.039423484527365,22.64123764800785,8.710619527942297,3.1175150659292945,68.03276687356393,-46.44259212908651
3501608,AMERICANA,8670623.0,246655,35.15283695850479,4.285337820032028,22.33078591555006,1.3419553627536436,95.69496143494521,10.232421376971224,17.027110319171534,12.415749932333984,3.58775542293927,80.76888468658767,-45.616047728082876
3510807,CASA BRANCA,1804492.0,28786,62.68644479955534,3.230737163899118,35.64232613075801,1.4590425901479886,115.15098763845255,32.0509970124366,38.832974274255,10.267679175328517,4.153971742438311,108.266889255039,-45.580444455483665
3522604,ITAPIRA,4924025.0,73919,66.61379347664335,2.2457013758303006,32.738538129574266,1.488115369526103,73.52098012025769,11.816721859845165,7.447995718151317,11.210738706315565,4.21381200774694,111.01944130083488,-44.40564782419153
3507605,BRAGANCA PAULISTA,10083250.0,184634,54.61209744684078,2.7026441500482035,29.14956075262411,1.863145466165495,78.78088984455427,11.700217909881909,13.14887832143594,12.126136182212505,4.018400757568597,98.72846025624413,-44.116362809403356
3540002,POMPEIA,623118.0,20512,30.378217628705148,6.386505460218408,26.033541341653667,1.1212948517940717,166.2633539272928,21.86762470498818,42.45706960631366,9.928814110482136,3.446113946096609,74.32369895907479,-43.945481330369645
3501707,AMERICO BRASILIENSE,2183042.0,33757,64.66931303137127,1.0960689634742424,38.09580235210475,5.213733447877477,41.75562659679106,33.9299561398159,36.203968048037154,10.426972705248874,4.184631739227978,106.18675411281998,-41.51744108144871
3550605,SAO ROQUE,2736247.0,81342,33.638796685599075,3.540606328833813,30.193503970888347,1.733421848491554,106.90331124899615,39.637912992599986,71.77815254244523,11.306430061003852,3.5449743453772133,74.04218755783869,-40.40339087223961
3500501,AGUAS DE LINDOIA,216104.0,18245,11.844560153466704,2.685667306111263,15.51109893121403,1.425047958344752,41.65765128141888,20.90618434274228,35.77956416268282,9.81170115690542,2.5529203873493738,51.79726473591109,-39.95270458244439
3526308,LAGOINHA,72134.0,5182,13.920108066383635,1.7367811655731378,18.52566576611347,0.0,32.17502738228893,5.987070629100731,7.669405083530887,8.553139318189707,2.7027098378045875,53.87146286377252,-39.95135479738889
3526902,LIMEIRA,11466954.0,300728,38.13064962358011,3.6378388444042455,25.903806762256924,1.2902024420739007,94.2338744576796,35.23665904072782,29.741543545439075,12.613964805962608,3.6669060377604694,77.82476604367277,-39.694116420092655
3523305,ITARIRI,22217.0,15762,1.4095292475574166,0.7613247049866768,14.97271919807131,0.0,11.399101026319993,3.9735293256420063,63.08322493408467,9.665420700626543,0.8794313954588681,40.031754995078984,-38.62222574752157
3506300,BERNARDINO DE CAMPOS,269267.0,11852,22.7191191360108,1.771852851839352,20.840364495443808,1.5187310158623017,36.92605926462369,4.147645522852007,25.80821118114402,9.3803362790795,3.166281437521369,60.079979985413814,-37.36086084940301
